Week_Ending,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,Year,state_alpha,unit_desc,Value
2005-04-17,14.665714285714284,22.38714285714286,7.052857142857143,0.4657142857142857,53.33142857142857,2005,TX,PCT PLANTED,64
2005-04-24,15.882857142857144,23.805714285714288,9.14857142857143,1.6557142857142857,48.66285714285714,2005,TX,PCT PLANTED,72
2005-05-01,14.35,23.09142857142857,5.821428571428571,0.1742857142857143,48.19,2005,TX,PCT EMERGED,65
2005-05-01,14.35,23.09142857142857,5.821428571428571,0.1742857142857143,48.19,2005,TX,PCT PLANTED,79
2005-05-08,13.622857142857145,19.875714285714285,8.102857142857143,0.94,67.49428571428571,2005,TX,PCT EMERGED,68
2005-05-08,13.622857142857145,19.875714285714285,8.102857142857143,0.94,67.49428571428571,2005,TX,PCT PLANTED,84
2005-05-15,19.948571428571427,27.552857142857142,12.957142857142856,4.268571428571429,55.52571428571429,2005,TX,PCT EMERGED,75
2005-05-15,19.948571428571427,27.552857142857142,12.957142857142856,4.268571428571429,55.52571428571429,2005,TX,PCT PLANTED,92
2005-05-22,23.86,32.38142857142857,15.244285714285716,0.0057142857142857,48.11285714285714,2005,TX,PCT EMERGED,80
2005-05-22,23.86,32.38142857142857,15.244285714285716,0.0057142857142857,48.11285714285714,2005,TX,PCT PLANTED,95
2005-05-29,21.93,28.17571428571429,15.89,2.637142857142857,61.03,2005,TX,PCT EMERGED,90
2005-06-05,22.20142857142857,29.424285714285716,14.80714285714286,5.281428571428571,60.59142857142857,2005,TX,PCT EMERGED,96
2005-06-26,26.525714285714287,34.182857142857145,18.527142857142856,0.0185714285714285,40.91857142857143,2005,TX,PCT SILKING,62
2005-07-03,28.58857142857143,36.47714285714286,20.58142857142857,1.534285714285714,42.74142857142857,2005,TX,PCT SILKING,66
2005-07-10,25.91714285714286,32.39714285714286,19.825714285714287,5.88,61.58285714285714,2005,TX,PCT DOUGH,60
2005-07-10,25.91714285714286,32.39714285714286,19.825714285714287,5.88,61.58285714285714,2005,TX,PCT SILKING,72
2005-07-17,27.09,33.81,20.16,0.3685714285714286,51.04857142857144,2005,TX,PCT DOUGH,62
2005-07-17,27.09,33.81,20.16,0.3685714285714286,51.04857142857144,2005,TX,PCT SILKING,80
2005-07-24,28.542857142857144,35.33142857142857,21.77285714285714,0.0028571428571428,47.68857142857143,2005,TX,PCT DOUGH,66
2005-07-24,28.542857142857144,35.33142857142857,21.77285714285714,0.0028571428571428,47.68857142857143,2005,TX,PCT SILKING,88
2005-07-31,25.20142857142857,32.81142857142857,17.997142857142855,1.5657142857142856,51.22857142857144,2005,TX,PCT DENTED,63
2005-07-31,25.20142857142857,32.81142857142857,17.997142857142855,1.5657142857142856,51.22857142857144,2005,TX,PCT DOUGH,74
2005-07-31,25.20142857142857,32.81142857142857,17.997142857142855,1.5657142857142856,51.22857142857144,2005,TX,PCT SILKING,94
2005-08-07,25.6,31.87714285714286,19.228571428571428,2.8814285714285712,54.81428571428571,2005,TX,PCT DENTED,66
2005-08-07,25.6,31.87714285714286,19.228571428571428,2.8814285714285712,54.81428571428571,2005,TX,PCT DOUGH,85
2005-08-07,25.6,31.87714285714286,19.228571428571428,2.8814285714285712,54.81428571428571,2005,TX,PCT SILKING,99
2005-08-14,24.487142857142857,30.554285714285715,18.735714285714288,6.2942857142857145,66.52571428571429,2005,TX,PCT DENTED,70
2005-08-14,24.487142857142857,30.554285714285715,18.735714285714288,6.2942857142857145,66.52571428571429,2005,TX,PCT DOUGH,91
2005-08-21,24.58857142857143,30.118571428571425,19.45142857142857,2.934285714285714,68.69285714285715,2005,TX,PCT DENTED,80
2005-08-21,24.58857142857143,30.118571428571425,19.45142857142857,2.934285714285714,68.69285714285715,2005,TX,PCT DOUGH,99
2005-08-21,24.58857142857143,30.118571428571425,19.45142857142857,2.934285714285714,68.69285714285715,2005,TX,PCT MATURE,66
